Name of the college,District
Don Bosco College,,
Don Bosco College,Golaghat
Don Bosco College,Kohima
Don Bosco College,Wayanad
Don Bosco Institute of Technology,Bangalore
Donyi-Polo Government College,
Doodhnath Smarak Mahavidyalaya,Sultanpur
Doodhsakhar Mahavidyalaya,
Doom Doom College,Tinsukia
Doon Business School,Dehradun
Doon College of Education for Women,
Doon College of Education,
Doon College of Law,
Doranda College,
Doying Gumin College,
DPBS College, Anupshahr,Bulandshahr
Dr Moopen’s Medical College,
Dr. A. C. Homoeopathic Medical College and Hospital,
Dr. A.H. Rizvi Degree College,
Dr. A.P.J. Abdul Kalam Government College,Kolkata
Dr. A.V. Baliga College of Art & Science,
Dr. A.V. Baliga College of Commerce,
Dr. Akhtar Hasan Rizvi Shia Degree College,Jaunpur
Dr. Ambedkar (Degree College),
Dr. Ambedkar Arts, Science & Commerce College,
Dr. Ambedkar College of Arts & Commerce,Pune
Dr. Ambedkar College of Commerce and Economics,
Dr. Ambedkar College of Education,Bangalore
Dr. Ambedkar College of Law,
Dr. Ambedkar College of Social Work,
Dr. Ambedkar College,
Dr. Ambedkar Degree College of Arts and Commerce,
Dr. Ambedkar Degree College,
Dr. Ambedkar First Grade Arts College,
Dr. Ambedkar First Grade College,
Dr. Ambedkar Government Arts College,
Dr. Ambedkar Government Degree College,
Dr. Ambedkar Government Law College,
Dr. Ambedkar Institute of Management Studies and Research,Nagpur
Dr. Ambedkar Institute of Technology for Handicapped,Kanpur Nagar
Dr. Ambedkar Institute of Technology,Bangalore
Dr. Ambedkar Memorial Institute of Information Technology & Management Science,
Dr. Ambedkar Smarak Evam Smt. Rajkishori Devi MahilaMahavidyalaya,
Dr. Amit Kumar Singh Kanya Mahavidyalaya,Ghazipur
Dr. Annasaheb G.D. Bendale Mahila Mahavidyalaya,
Dr. Anuradha Tripathi Memorial Balika Degree College,Auraiya
Dr. Anushka Vidhi Mahavidyalaya,
Dr. APJ Abdul Kalam Government College,
Dr. Arun Motghare Mahavidyalaya,Bhandara
Dr. Asha Smriti Mahavidyalaya,Lucknow
Dr. Ashok Kumar Smarak Mahavidyalaya,
Dr. Awdhesh Prakash, Sharma Smarak Mahavidyalaya,Bara Banki
Dr. B. Ambedkar College of Arts, Commerce & Science,
Dr. B. Lal Institute of Biotechnology,
Dr. B. R. Ambedkar National Institute of Technology, Jalandhar
Dr. B. R. Ambedkar National Institute of Technology, Jalandhar,Jalandhar
Dr. B.B. Hegde First Grade College,Udupi
Dr. B.C. Roy Engineering College,
Dr. B.K. Baruah College,Nagaon
Dr. B.P.S. College,Agra
Dr. B.R. Ambedkar College (Arts, Sc. & Commerce),
Dr. B.R. Ambedkar First Grade College,
Dr. B.R. Ambedkar Government College,Kaithal
Dr. B.R. Ambedkar Government Law College,
Dr. B.R. Ambedkar Govt. Girls P.G. College,
Dr. B.R. Ambedkar Janamshatabdi Mahavidyalaya,
Dr. B.R. Ambedkar Krishak Degree College,
Dr. B.R. Ambedkar Law College,
Dr. B.R. Ambedkar Mahavidyalaya,Banda
Dr. B.R. Ambedkar P.G. College,Jaipur
Dr. B.R. Ambedkar Rajkiya Mahavidyalaya,
Dr. B.R. Ambedkar Satabarshiki Mahavidyalaya,North Twenty Four Parganas
Dr. B.R.R. Govt. College,
Dr. Baba Saheb Ambedkar College of Arts & Commerce,
Dr. Baba Saheb Ambedkar National Institute of Social Science,
Dr. Babasaheb Ambedkar College of Arts, Science & Commerce,
Dr. Babasaheb Ambedkar College of Engineering & Research,Nagpur
Dr. Babasaheb Ambedkar College of Social Work,Dhule
Dr. Babasaheb Ambedkar Commerce and Maharshi Vitherl Ramji Shinde Arts College,Pune
Dr. Babasaheb Ambedkar Commerce, Dr. M.V.R. Shinde, Arts College,Pune
Dr. Babasaheb Ambedkar Education Society’s B. Shankaranand Arts and Commerce College,Belgaum
Dr. Babasaheb Ambedkar Mahavidyalaya,
Dr. Babasaheb Ambedkar Memorial College of Law,
Dr. Babasaheb Nandurkar Sharirik Shikshan Mahavidyalaya,
Dr. Balasaheb Ambedkar College of Arts & Commerce,
Dr. Bhagwat Sahay Govt. College,Gwalior
Dr. Bhanuben Mahendra Nanavati College of Home Science,
Dr. Bhavar Singh Porte Government College,
Dr. Bheem Rao Ambedkar Mahavidyalaya,
Dr. Bhim Rao Ambedkar Degree College,
Dr. Bhim Rao Ambedkar Degree College,Banda
Dr. Bhim Rao Ambedkar Govt. College,
Dr. Bhim Rao Ambedkar Mahavidyalaya,
Dr. Bhim Rao Ambedkar Rajkiya Mahavidyalaya,Kannauj
Dr. Bhimrao Ambedkar Baudhha Mahavidyalaya,
Dr. Bhimrao Ambedkar Government College,
Dr. Bhimrao Ambedkar Government College,Mahasamund
Dr. Bhimrao Ambedkar Government P.G. College,
Dr. Bhimrao Ambedkar Mahavidyalaya,
Dr. Bhimrao Ambedkar Mahavidyalaya,Gonda
Dr. Bhimrao Ambedkar Rajkiya Mahavidyalaya,
Dr. Bhimrao Ambedkar Rajkiya Mahavidyalaya,Jodhpur
Dr. Bhupendra Nath Dutta Smriti Mahavidyalaya,
Dr. C.D. Deshmukh Commerce & Sau. K.G. Tamhane Arts College,
Dr. C.V. Raman College of Administration and Network Sciences,Davanagere
Dr. Chandrama Singh Mahila Mahavidyalaya,Varanasi
Dr. Cheeday Satyanarayana Degree & P.G. College,West Godavari
Dr. D. P. Singh Mahavidyalaya,Shahjahanpur
Dr. D. Y. PatilPratishthan’s,  Dr. D.Y. Patil Institute of Management Studies,Pune
Dr. D.G. Shetty Educational Society’s R.S. Shetty College of Commerce,
Dr. D.P. Singh Mahavidyalaya,Shahjahanpur
Dr. D.Y. Patil Educational Federation Dr. D.Y. Patil Institute of Management & Entrepreneur Development,Pune
Dr. D.Y. Patil Pratishthan,
Dr. D.Y. Patil Unitech Society Pune's Dr. D.Y. Patil Arts, Commerce and Science College,Pune
Dr. D.Y. Patil Unitech Society's Dr. D.Y. Patil Arts, Commerce and Science College,Pune
Dr. Datar Science Dr. Behera aRts & Shri P.J. Commerce College,
Dr. G. Shankar Government Women's First Grade College and P.G. Study Centre,
Dr. G.R. Damodaran College of Science,Coimbatore
Dr. Ganesh Dass D.A.V. College of Education for Women,
Dr. Ghali College,
Dr. Ghanshyam Singh Mahavidyalaya,
Dr. Gopalrao Khedkar Mahavidyalaya,
Dr. Govind Prasad Rani Devi Patel Mahavidyalaya,
Dr. H.N. Sinha Arts and Commerce College,
Dr. Harekrushna Mahatab College,
Dr. Hari Shankar Mishra Mahavidyalaya,
Dr. Harivansh Rai Bachchan Mahavidyalaya,
Dr. Islam Majeed Teacher’s Training College,
Dr. Islam Majid Degree College,
Dr. J.J. Magdum College of Engineering,Kolhapur
Dr. Jadunath College,
Dr. Jagannath Mishra College,
Dr. Jagannath Mishra College,Muzaffarpur
Dr. Jagnnath Mishra Sanskrit College,Madhubani
Dr. Jhasaketan Sahu College,Sambalpur
Dr. Jyothirmayi Degree College,Kurnool
Dr. K. Shivaramakarantha Government First Grade College,
Dr. K.R.R.M. Degree College,Guntur
Dr. K.S.P.R. College of Education,Guntur
Dr. K.V. Subba Reddy Institute of Pharmacy,Kurnool
Dr. K.V. Subba Reddy Institute of Technology,Kurnool
Dr. Kailash Nath Singh Mahavidyalaya,
Dr. Kailashnath Katju Vidhi Mahavidyalaya,
Dr. Kanailal Bhattacharyya College,
Dr. Lankapalli Bullayya College,Visakhapatnam
Dr. Lohiya Karpoori V.D. College,Samastipur
Dr. Lohiya Mahila Mahavidyalaya,
Dr. M.K.. Umathe Arts & Ramchandrarao Mokhare Commerce College,
Dr. M.V. Shetty College of Physiotherapy,
Dr. M.V. Shetty College of Social Work,
Dr. M.V. Shetty College of Speech and Hearing,,
Dr. Mahalingam College of Engineering and Technology,,Pollachi
Dr. Mahendra Kumar Chhote Lal Bind Mahavidyalaya,Allahabad
Dr. Manrakhan Lal Sahu Government College.,Durg
Dr. Meghnad Saha College,Uttar Dinajpur
Dr. MGR Janaki College of Arts and Science for Women,
Dr. Milind Bimbe College,Jalgaon
Dr. Mithilesh Mani Tripathi Adarsh Degree College,Siddharthnagar
Dr. MPS Memorial College of Business Studies,
Dr. Mrs. Indira Bai B. Pathak Mahila Mahavidyalaya,
Dr. N.G.P. Arts & Science College,Coimbatore
Dr. N.G.P. Institute of Technology,Coimbatore
Dr. N.S.A.M. First Grade College,
Dr. N.S.A.M. First Grade College,Bangalore
Dr. Nobin Bordoloi College,Jorhat
Dr. P.  Dayananda Pai - P. Satisha Pai Government First Grade College,Dakshina Kannada
Dr. P.D. Patil College of Computer Science & Management Studies,
Dr. P.D.B.H. Government Post-Graduate College,
Dr. P.G.A.S. Samiti’s Pandit Panchaxara Gavaigalavara Music College,
Dr. P.N. Singh Degree College,Saran
Dr. Panjabrao Deshmukh College of Law,
Dr. Parashuram Deen Bandhu Mahavidyalaya,Ambedkar Nagar
Dr. Parshuram Mishra Institute of Advanced Study In Education,
Dr. Pushpendra Singh Smarak Mahavidyalaya,
Dr. R. Ahmed Dental College and Hospital,
Dr. R.A.N.M. Arts & Science College,Erode
Dr. R.K. Shanmugam College of Arts & Science,Viluppuram
Dr. R.K. Shanmugam College of Education,Viluppuram
Dr. R.M.L.S. College,Muzaffarpur
Dr. R.P. Richharia Degree College,
Dr. R.V. Arts and Science College,Coimbatore
Dr. Radha Bai Govt. Navin Kanya Mahavidyalaya,
Dr. Rafiq Zakaria College for Women,
Dr. Rajendra Prasad Memorial Girls Degree College,
Dr. Ram Bahadur Singh Memorial Mahavidyalaya,
Dr. Ram Krishna Thakur Janta Sanskrit Mahavidyalaya,Madhubani
Dr. Ram Kumar Gayatri Devi Degree College,,
Dr. Ram Manohar Lohia Degree College,
Dr. Ram Manohar Lohia Government Degree College,
Dr. Ram Manohar Lohia Mahavidhyalaya,
Dr. Ram Manohar Lohia Mahavidyalaya,
Dr. Ram Manohar Lohia, Chobisa Mahavidyalaya,
Dr. Ram Manohar Lohiya Balika Mahavidyalaya,Pratapgarh
Dr. Ram Manohar Lohiya Degree College,
Dr. Ram Manohar Lohiya Government Degree College,Jaunpur
Dr. Ram Manohar Lohiya Mahavidyalaya,
Dr. Ram Manohar Lohiya Mahavidyalaya,Gorakhpur
Dr. Ram Manohar Lohiya Subedar Mahavidyalaya,
Dr. Ram Manohur Lohiya Mahavidyalaya,
Dr. Ram Narayan Mahila Mahavidyalaya,
Dr. Rama Prasanna Maniram Singh Mahavidyalaya,
Dr. Rammanohar Lohia College of Law,
Dr. Rammanohar Lohiya Mahila Mahavidyalaya,Jhansi
Dr. Ramnaresh Mahavidyalaya,Azamgarh
Dr. Ramraj Singh Mahila Mahavidyalaya,Nalanda
Dr. Rishikant Siddarth Mahavidyalaya,
Dr. Rishikant Siddarth Mahavidyalaya,Etah
Dr. Rizvi College of Law,
Dr. Rohini Kanta Barua Law College,
Dr. S. & S.S. Gandhy Government Engineering College,
Dr. S. Gopalaraju Government First Grade College,Bangalore
DR. S.C GulhanePrerna College of Commerce Science and Arts.,Nagpur
Dr. S.K. Sinha Women's College,Purbi Champaran
Dr. S.N.N. Government Degree College,
Dr. S.P. Singh College of Teacher Education,
Dr. S.R. Chandrasekhar Institute of Speech and Hearing,Bangalore
Dr. Samala Ramaiah Janakamma Degree College,Sri Potti Sriramulu Nellore
Dr. Sampurnanand Medical College,
Dr. Samuel George Institute of Engineering & Technology,Prakasam
Dr. Samuel George Institute of Pharmaceutical Sciences,Prakasam
Dr. Saravepalli Radhakrishna Government Arts College,
Dr. Sarojini B.S.W. College,Dharwad
Dr. Shadi Lal College of Education,
Dr. Shashi Bhushan Institute of Education,Hailakandi
Dr. Shashi Kant Singh Mahavidyalaya,Varanasi
Dr. Shiv Uma Gupta Degree College,Fatehpur
Dr. Shivanand Nautiyal Government Post Graduate College,Chamoli
Dr. Shivling Shivacharaya Maharaj Pratishtan’s College of Education (B.Ed.),Latur
Dr. Shyama Prasad Mukherjee Degree College,
Dr. Shyama Prasad Mukherjee Govt. Degree College,
Dr. Shyamprasad Mukharji Arts College,
Dr. Sivanthi Aditanar College of Physical Education,
Dr. SNS College of Education,
Dr. SNS Rajalakshmi College of Arts & Science,Coimbatore
Dr. Subhash Mahila Arts Commerce and Home Science College,
Dr. Subhash Mahila College of Education,
Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,Kolkata
Dr. Susheela Grameen Mahavidyalaya,
Dr. Sushila Tiwari Private Mahavidyalaya,
Dr. T. Thimmaiah Institute of Technology,
Dr. T. Thimmaiah Institute of Technology,,
Dr. T.M.A. Pai College of Education,
Dr. Uday Jasraj Ratna Mahila Mahavidyalaya,
Dr. Umayal Ramanathan College for Women,
Dr. V S K Govt Degree College,Visakhapatnam
Dr. V.H. Dave Homoeopathic Medical College and S.I. Patel Homeopathic Hospital,
Dr. V.M. Medical College,
DR. V.R.K Women’s College of Engineering & Technology,
Dr. Virambhai Rajabhai Godhaniya College of Arts Commerce Home Science and Information Technology for Girls,
Dr. Virendra Swarup Institute of Professional Studies,
Dr. Vishwambhar Singh Pratap Singh Mahavidyalaya,
Dr. Vithalrao Vikhe Patil Foundation’s Medical College & Hospital,
Dr. Vithalrao Vikhe Patil Foundation’s, College of Nursing,,Ahmadabad
Dr. Z.H. Degree College,
Dr. Z.H.T.T. College,Darbhanga
Dr. Zakir Husain College,Sivagangai
Dr. Zakir Hussain First Grade College,
Dr.B.R. Ambedkar College,
Draupadi Devi Vindhayachal Degree College,
DRIEMS,
DRK Institute of Science & Technology,Hyderabad
Dronacharya College of Education,
Dronacharya College of Engineering,
Dronacharya Govt. College,
DSBG Govt. First Grade College,
Duddupudi Degree College for Women,Raichur
Dudhnath Singh Smarak Mahavidyalaya,Jaunpur
Dudhnoi College,Goalpara
Dugheshwar Nath Sanskrit Mahavidyalaya,
Duja Devi Degree College,
Dukhulal Nibaran Chandra College,
Dulari Devi Degree College,
Dulari Mahila Mahavidyalaya,Ambedkar Nagar
Duleshwari Sukhdev (D.S.) Memorial Girls Degree College,Ballia
Duliajan College,Dibrugarh
Duliajan Girls’ College,Dibrugarh
Dum Dum Motijeel College,
Dum Dum Motijheel Rabindra Mahavidyalaya,
Dumakal College,
Dumkal Institute of Engineering & Technology,Murshidabad
Dumri Mahavidyalaya,Gumla
Dunguripali College,
Durama College,West Garo Hills
Durga College of Education,Jammu
Durga Mahavidyalaya,
Durga Narain Degree (PG) College,
Durgabai Deshmukh College of Special Education(Visual Impairment),
Durgadevi Saraf Institute of Management Studies,
Durgadut Chunnilal Sagarmal Khandelwal Post-Graduate College,
Durgapur Government College,
Durgapur Institute of Advanced Technology & Management,
Durgapur Institute of Legal Studies,Barddhaman
Durgapur Women's College,
Durgawati Radheshyam Balika Mahavidyalaya,Ghazipur
Dushyant Singh Bhale Sultan Mahavidyalaya.,
Dutika Sahu College,
Duvvuru Ramanamma Women's Degree College,
Dwaba Sanskrit Prachar Samiti Mahavidyalaya,
Dwaraka Doss Goverdhan Doss Vaishnav College,
Dwarika Prasad Mahavidyalaya,
Dwarika Prasad Sinha Mahila Mahavidyalaya,Ballia
Dwarka Nath College,Patna
Dwijendralal College,
Dyal Singh College,Karnal
E.C.I. Mahila Mahavidyalaya,
E.G.S. Pillay Engineering College,
E.K. Nayanar Memorial Government College,
E.M.E.A. College of Arts & Science,
E.M.G. Yadava Women's College,
E.R.K. Arts and Science College,
Easa College of Engineering and Technology,Coimbatore
East Calcutta Girls' College,
East N West Teacher’s Training College,Saharsa
East Point College of Engineering & Technology,
East West Institute of Technology,Bangalore
Eastern Christian College,
Eastern Karbi Anglong College,Karbi Anglong
Easwari Engineering College,Chennai
Edayathangudy G.S. Pillay Arts & Science College,Nagapattinam
Education B.Ed College,
Education College,Murshidabad
Edurite College of Management Studies,
Egra Sarada Shasibhusan College,
EGS Pillay College of Education,Nagapattinam
Ekalabya Panchayat Samiti College (+3),
Ekamra Mahavidyalaya,
Eklavya Mahavidyalaya,
Eknath Sitarama Divekar College,Pune
Ekram Nabi Khan Girls Degree College,Sant Kabir Nagar
Ekshala College of Education,
Eliezer Joldan Memorial College,Ladakh
Ellenki College of Engineering & Technology,,
Elphinstone College,Mumbai
Emarti Devi Women's College,
Emerald Height College for Women,
Engineering College,
Er. Perumal Manimekalai College of Engineering,Krishnagiri
Er. R.S.V. Mahavidyalaya,
Eram College,Bara Banki
Eram Girls Degree College,Lucknow
Erode Arts and Science College,Erode
Erode Sengunthar Engineering College,
Eswar College of Engineering,
Evening College,
Ewing Christian College,
Excel Business School,Komarapalayam
Excel College of Engineering and Technology,Komarapalayam
Excel College of Technology,Komarapalayam
Excel Engineering College,Komarapalayam
Excelsior Education Society’s K.C. College of Engineering & Management Studies and Research,
Excelssior Education Society’s, K.B. College of Arts and Commerce for Women,
F. Education Society's Girls College,
F.A. Ahmed College,Kamrup
F.A.A. Government Degree (PG) College,
F.D. Arts And Commerce College for Women,
F.E.S. Girls College,
F.M. College,
F.S. College of Education,
Fabtech Education Society's Fabtech Technical Campus-College of Engineering & Research,Solapur
Fairfield Institute of Management & Technology,New Delhi
Faisal Degree College,Balrampur
Faiz-E-Am Degree College,
Faiz-E-Am Modern Degree College,
Fakir Chand College,
Fakiragram College,Kokrajhar
Falahe Ummat Girls Degree College,
Falakata College,
Fanikeshwar Nath Government College,,Gariaband
Faridul Haque Memorial Degree College,Jaunpur
Farook College,
Farook Training College,
Fateh Bahadur Singh Shivshanker Singh Mahavidyalaya,Ballia
Fateh Chand College For Women,
Father Muller College,
Father Muller Medical College,
Fatima College,
Fatima Degree College,,Balrampur
Fatima Hind Mahila Mahavidyalaya,Azamgarh
Fatima Mahavidyalaya,Hardoi
Fatima Mata National College,
Fatima Michael College of Engineering and Technology,Madurai
Fazl Ali College,
Federal Institute of Science and Technology (FISAT),Ernakulam
Feku Singh Mahavidyalaya,
Fergusson College,Pune
Feroze Gandhi Degree (PG) College,
Feroze Gandhi Memorial Govt. College,
Field Marshal K.M. Cariappa College,
First Grade College K.G.F.,
First Grade College of Arts, Science & Commerce,
First Grade College,
First Grade College,Kodagu
First Lady Teacher Mata Savitri Bai Phoole Government Girls College,Rewari
Footwear Design and Development Institute,Multiple Campus
Forbesganj College,Purnia
Forensic Science Laboratory,
Forest College & Research Institute,
Forkating College,Golaghat
Forte Institute of Technology,
Fr. Angel College of Arts And Commerce,
Fr. Conceicao Rodrigues College of Engineering.,Mumbai
Frame College,Dausa
Francis Xavier Engineering College,
Franklin College of Education,Kashmir
Fule – Ambedkar College of Social Work,
Fundi Singh Launa Rajkiya Mahavidyalaya,
Future Institute of Engineering and Management,South Twenty Four Parganas
G S Krishna Memorial Law College,East Godavari
G. H. Raisoni College of  Commerce Science & Technology,,Nagpur
G. N. Girls College,Patiala
G. Narayanamma Institute of Technology & Science, For Woman,Hyderabad
G. Pulla Reddy College of Pharmacy,
G. Pulla Reddy Engineering College,Kurnool
G. Pullaiah College of Engineering and Technology,Kurnool
G. Singh Degree College,
G. Venkatswamy Naidu College,
G.B. Murarka Arts & Commerce College,
G.B. Pant Degree College,
G.B. Pant Engineering College,
G.B. Pant Hospital,
G.B. Pant Memorial Govt. College,
G.B. Tatha Tatyasaheb Khare Commerce, Parvatibai Gurupad Dhere Arts & Shri Mahesh Janardan Bhosale Science College,Ratnagiri
G.B.M. College,Gaya
G.D. College,Begusarai
G.D. College,Murshidabad
G.D. David Foundation’s Trinity College of Commerce,
G.D. Modi College of Arts,
G.D. Sawant Arts, Commerce, Science & B.C.S. College,
G.D.M. College,Nalanda
G.E. Society's N.B. Thakur Law College,
G.E. Socity Arts and Commerce College,
G.E.C.G.S. Patil Arts & Commerce College,
G.G.D.S.D. College,
G.G.N. Khalsa College,
G.H. Raisoni Academy of Engineering & Technology,
G.H. Raisoni College of Engineering & Management,
G.H. Raisoni College of Engineering & Management,Pune
G.H. Raisoni College of Engineering,
G.H. Raisoni Educational & Medical Foundation’s G.H. Raisoni College of Arts, Commerce & Science,Pune
G.H. Raisoni Institute of Engineering & Technology,Pune
G.H. Raisoni Institute of Engineering and Technology,
G.H. Raisoni Institute of Enginering and Business Management,
G.H. Raisoni Institute of Information Technology,
G.H. Raisoni Institute of Management & Research,
G.H. Raisoni Institute of Management & Research,Pune
G.H. Raisoni School of Business Management,
G.H. Raisoni School of Management,
G.H. Sanghavi Shikshan Mahavidyalaya,
G.H.G. Harparkaash College of Education for Women,
G.H.G. Khalsa College of Education,
G.H.G. Khalsa College,
G.H.R. Education Foundation Society Sadabai Raisoni Women’s College,Nagpur
G.H.S. Government College,
G.K. Goswami Government College,
G.K.M. College of Engineering & Technology,Chennai
G.K.S.M. Govt.College,
G.L. Bajaj Institute of Technology & Management,,
G.L. Choudhury College,Barpeta
G.L.A. College,
G.L.M. College,Purnia
G.M. College,
G.M. Evening College,
G.M. Law College,
G.M.D. Arts & B.W. Commerce & Science College,
G.M.R.D. College,Samastipur
G.N. Patel College of Dairy Science and Food Technology,Banas Kantha
G.N. Women’s Educational Institute,Ghazipur
G.N.W. Socity's Arts and Commerce First Grade College,
G.P. Government women's College,
G.P.S. Degree College,
G.R. Damodaran Academy of Management,Coimbatore
G.S. Arya Danya Mahavidyalaya,
G.S. Ayurved Mahavidyalaya,
G.S. College of Commerce & Economics,
G.S. College of Commerce and Economics,
G.S. College of Commerce,
G.S. College of Science, Arts & Commerce,
G.S. College,Hatras
G.S. Degree College,
G.S. Hindu Degree College,
G.S. Lohia College,Tinsukia
G.S. Mahavidyalaya,
G.S. Science College,
G.S. Tompe Arts, Commerce  & Science College,
G.S.D.N. Mahaviayalaya,
G.S.M. College of Advance Education,
G.S.R.M. Memorial Degree College,
G.T. Patil Arts Commerce and Science College,
G.T.N. Arts College,
G.T.P. College of Education for Women,Warangal
G.T.R.M. Govt. Degree College,Kurnool
G.V. College of Education,
G.V.S.M. Govt. Degree College,Prakasam
Gadadhar Shlok Mahavidyalaya,
Gadibrahma College,
Gadibrahma Women’s College,
Gagan College of Management & Technology,
Gagan Mahavidyalaya,Aligarh
Gairul Nisha Girls Degree College,
Gajadhar Bhagat College,Bhagalpur
Gajadhar Singh Mahavidyalaya,Ghazipur
Gajraj Singh Memorial Degree College,
Galaxy College of Education,Jammu
Galsi Mahavidyalaya,
Galuguri Bapi Raju Degree College,East Godavari
Ganapathi Seethai Ammal College,Manamadurai
Gandh Institute of Engineering & Technology,
Gandhi Adarsh College,
Gandhi Centenary B.T. College,
Gandhi Degree College,
Gandhi Degree College,Jhansi
Gandhi Engineering College,
Gandhi Faizeam College,
Gandhi Girls College,
Gandhi Gram College,Wardha
Gandhi Institute for Education & Technology,
Gandhi Institute for Technological Advancement,
Gandhi Institute for Technology (GIFT),
Gandhi Institute of Professional and Technical Studies,
Gandhi Mahavidyalaya,
Gandhi Medical College,Bhopal
Gandhi Medical College,Hyderabad
Gandhi Memorial College of Education,Jammu
Gandhi Memorial College,Kashmir
Gandhi Memorial National College,
Gandhi P.R. College,Bhopal
Gandhi Samarak Dev Nagri College,
Gandhi Shanti Niketan Degree College,
Gandhi Shatabdi Smarak Mahavidyalaya,
Gandhi Shikshan Bhavan's Smt. Surajba College of Education,
Gandhi Smarak Degree College,
Gandhi Smarak Triveni Mahavidyalaya,
Gandhi T.T College,
Gandhi Vidya Niketan Degree College,
Gandhi Vocational College,Guna
Gandhigram Women’s B.Ed. College,Wardha
Gandhinagar Charitable Trust Sanchalit Samarpan Arts & Commerce College,Gandhinagar
Ganesar College of Arts & Science,
Ganesh Baksh Harvansh Bahadur Mahvidyalaya,Rae Bareli
Ganesh College of Engineering,Salem
Ganesh Prasad Sailesh Kumar Mahavidyalay,Bara Banki
Ganesh Shankar vidyarthi Memorial Medical College,
Ganga Degree College,
Ganga Devi Kapil Dev Tiwari Mahavidyalaya,Sant Kabir Nagar
Ganga Devi Lal Bahadur Degree College,Bara Banki
Ganga Devi Mahila College,Patna
Ganga Devi Ram Sajeevan  Mahavidyalaya,
Ganga Devi Yadav Memorial Mahila Mahavidyalaya.,Bara Banki
Ganga Gauri Mahavidyalaya,
Ganga Institute of Architecture and Town Planning,Jhajjar
Ganga Institute of Education,Jhajjar
Ganga Institute of Technology and Management,Jhajjar
Ganga Prasad Mahavidyalaya,Mirzapur
Ganga Ram Seth Degree College,Shahjahanpur
Ganga Shyodan Singh Kanya Mahavidyalaya,
Ganga Singh College,Chhatarpur
Ganga Singh Mahavidyalaya,
Gangadharpur Mahavidyalaya,
Gangadharpur Shikshan Mandir,
Gangamai Education Trust's Arts, Commerce and Science College,
Gangarampur College,
Gangasheel Mahavidyalaya,Bareilly
Gangasheel School of Nursing,Bareilly
Gangavathi Bhagyamma Memorial Rural College,
Gangotri Devi Mahila Degree College,
Ganjam College,
Ganjam Law College,Ganjam
Ganjdundwara College,
Ganji Prasad Mahavidyalaya,Chandauli
Ganna Kisan Mahavidyalaya,
Ganna Krashak Mahavidyalaya,Hardoi
Ganna Krishak PG Degree College,
Ganna Utpadak Mahavidyalaya,
Ganpath Sehay Degree College,
Ganpatrao Arawade College of Commerce,
Garden City College of Science & Mangement Studies,Bangalore
Gargaon College,Sivaganga
Gargi College,
Garhbeta College,
Gate Degree College,
Gate Institute of Technology and Management Sciences,
Gates Institute of Technology,Anantapur
Gauhati College,Kamrup
Gaur Brahman College of Education,
Gaur Brahman Degree College,
Gaura Devi Mahila Mahavidyalaya,Basti
Gaurav B.T.C. Mahila College,
Gaurav Mahavidyalaya,Varanasi
Gauri Bhaiya Mahavidyalaya,Ballia
Gauri Shankar Dwivedi Mahavidyalaya,
Gauri Shankar Girls Degree College,
Gauri Shankar Mahavidyalaya,
Gauri Shanker Rai Kanya Mahavidyalaya,
Gaurishankar (G.S.) Mahavidyalaya,Jaunpur
Gautam Buddh Mahavidyalaya,
Gautam Buddha Degree College,
Gautam Buddha Girls Degree College,
Gautam Buddha Mahavidyalaya,
Gautam Budh Government Degree College,
Gautam Budh Mahavidyalaya,
Gautam Budh Teachers Training College,Nalanda
Gautam Budha Mahavidyalaya,
Gautam Budha Mahila Mahavidyalaya,
Gautam Girls College,
Gautam Teacher’s Training College,Nalanda
Gautama Buddha Balika Mahavidyalaya,
Gaya College,Gaya
Gaya Prasad Mahavidyalaya,Chitrakoot
Gaya Prasad Smarak Government Mahila Degree College,
Gaya Prasad Verma Mahavidyalaya,
Gayadeen Maurya Smriti Mahavidyalaya,
Gayadei Mahila Mahavidyalaya,
Gayathri College of Science & Management,Srikakulam
Gayatree Vidyapeeth Degree College,
Gayatri Devi College of Education,
Gayatri Devi Degree College,Gorakhpur
Gayatri Mahavidyalaya,
Gayatri Smarak Mahavidyalaya,Aligarh
Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),Visakapatnam
Gayatri Vidya Parishad College of Engineering for Women,Visakhapatnam
Gayatri Vidya Parishad College of Engineering,Visakhapatnam
Gazole Mahavidyalaya,Maldah
GD Rungta College of Science and Technology,bhilai
GDMM College of Engineering and Technology,Krishna
Geeta Singh Mahila Mahavidyalaya,
Geetanjali B.Ed. College,
Geetanjali College of Pharmacy,Rangareddy
Geetanjali Institute of Technical Studies,Udaipur
Geethanjali College of Engineering & Technology,
Geethanjali Institute of Science & Technology,Sri Potti Sriramulu Nellore
Gelakey College,Sivasagar
GEMS Arts and Science College,Malappuram
General Shivdev Singh Diwan Gurbachan  Singh Khalsa College,
General Zorawar Singh Memorial Degree College,Jammu
Ghana Kanta Borah College,Jorhat
Ghanakanta Baruah College,Morigaon
Ghanshyam Urvashi Mahvidyalaya,Allahabad
Ghanteswar Degree College,
Ghatshila College,
Ghess College,
Ghoshpukur College,Darjiling
Ghousia College of Engineering,
Ghulam Nabi Azad Arts, Commerce & Science College,
Ghuna Devi College,Ballia
Giani Gurbaksh Singh D.A.V. Centenary College,
GIET Degree College,
