Name of the college,District,State
College of Engineering & Technology,Akola,Maharashtra
College of Engineering and Management,,West Bengal
College of Engineering Bhubaneswar (CEB),,Odisha
College of Fine Arts,,Kerala
College of Fine Arts,Mysore,Karnataka
College of Fine Arts (Karnataka-Chitrakala Parishad),,Karnataka
College of Fishery Sciences,Nagpur,Maharashtra
College of Home Science,,Maharashtra
College of Home Science,,Himachal Pradesh
College of Home Science Govind Ballabh Pant University of Agriculture & Technology,,Uttarakhand
College of Horticulture,Mahesana,Gujarat
College of Law IPS Academy,Indore,Madhya Pradesh
College of Library & Information Science,,Odisha
College of Life Science Cancer Chikitsalya,,Madhya Pradesh
College of Management Studies,Visakhapatnam,Andhra Pradesh
College of Material Management,,Madhya Pradesh
College of Military Engineering,,Maharashtra
College of Nursing,,Madhya Pradesh
College of Nursing,,Gujarat
College of Nursing,,Chandigarh
College of Pharamcy,,Maharashtra
College of Pharmaceutical Science,,Odisha
College of Physical Education,,Maharashtra
College of Physical Education,,Maharashtra
College of Physical Education,Pasumpon Thevar Thirumagan,Tamil Nadu
College of Physical Education & MGT Studies,Bhopal,Madhya Pradesh
College of Professional Ed1ucation,,Uttar Pradesh
College of Renewable Energy & Environmental Engineering,Banas Kantha,Gujarat
College of Social Work,,Maharashtra
College of Social Work,,Maharashtra
College of Social Work & Arts,,Maharashtra
College of Teacher Education,,Karnataka
College of Teacher Education,,Telangana
College of Teacher Education,,Telangana
College of Teacher Education,,Odisha
College of Teacher Education,,Meghalaya
College of Teacher Education (CTE),,Tripura
College of Teachers Education,,Meghalaya
College of Technology,,Uttarakhand
College of Textile Technology,,West Bengal
College of Veterinary and Animal Sciences,Thrissur,Kerala
College of Veterinary and Animal Sciences,,Uttarakhand
College of Veterinary Science & Animal Husbandry,,Gujarat
College of Veterinary Science and Animal Husbandry,,Madhya Pradesh
College of Veterinary Science and Animal Husbandry,Mathura,Uttar Pradesh
College of Veterinary Science and Animal Husbandry,Adilabad,Madhya Pradesh
College of Visual Arts,,West Bengal
College of Vocational Studies,,Delhi
Colonal Jagannath Singh Mahavidyalaya,,Uttar Pradesh
Columbia College,Raipur,Chhattisgarh
Columbia Institute of Pharmacy,,Chhattisgarh
Commander Arjun Singh Bhadauriya Mahavidyalaya,Etawah,Uttar Pradesh
Commerce College,Kokrajhar,Assam
Comprehensive College of Education,Sri Potti Sriramulu Nellore,Andhra Pradesh
Consortium Minorities Association Arts and Commerce College,,Karnataka
Cooach Behar College,,West Bengal
Cooch Behar Government Engineering College,,West Bengal
Coorg Institute of Technology,Kodagu,Karnataka
Cordia College,,Punjab
Cosmic College of Education,Jammu,Jammu and Kashmir
Cosmos College of Education,,Uttar Pradesh
Cotton College,Kamrup,Assam
Creative Educational Society’s College of Pharmacy,Kurnool,Andhra Pradesh
Crescent School of Education and Training,West Champaran,Bihar
Cross Land College,,Karnataka
CSI College of Engineering,The Nilgiris,Tamil Nadu
CT Institute of Engineering,,Punjab
CT Institute of Managemnet & Information Technology,Jalandhar,Punjab
Cuttack College,,Odisha
CVR College of Engineering,,Telangana
D L R Degree College,East Godavari,Andhra Pradesh
D N R College,Bhimavaram,Andhra Pradesh
D P I A S E,,Odisha
D R G  Govt. Degree College,West Godavari,Andhra Pradesh
D. Banumaiah's College of Commerce & Arts,Mysore,Karnataka
D. K. T. E. Society's Textile &  Engineering Institute,Kolhapur,Maharashtra
D. R. College,Golaghat,Assam
D. S. R. Degree College,Bareilly,Uttar Pradesh
D. Y. Patil Educational Federation’s Dr. D.Y. Patil College of Engineering & Innovation,Pune,Maharashtra
D. Y. Patil Institute of Master of Computer Applications and Management,Pune,Maharashtra
D.A. Pandu Memorial R.V. Dental College,,Karnataka
D.A.N. College of Education for Women,,Punjab
D.A.V. (P.G) College,,Uttarakhand
D.A.V. Centenary College,,Haryana
D.A.V. Centnary College,,Himachal Pradesh
D.A.V. College,,Odisha
D.A.V. College,,Uttar Pradesh
D.A.V. College,,Himachal Pradesh
D.A.V. College,,Himachal Pradesh
D.A.V. College,,Uttar Pradesh
D.A.V. College,,Punjab
D.A.V. College,,Punjab
D.A.V. College,,Haryana
D.A.V. College,,Punjab
D.A.V. College,,Uttar Pradesh
D.A.V. College,,Uttar Pradesh
D.A.V. College,,Haryana
D.A.V. College,,Punjab
D.A.V. College,,Punjab
D.A.V. College,,Haryana
D.A.V. College,,Punjab
D.A.V. College,,Chandigarh
D.A.V. College,,Haryana
D.A.V. College,,Haryana
D.A.V. College,Ghazipur,Uttar Pradesh
D.A.V. College,,Haryana
D.A.V. College,,Haryana
D.A.V. College for Girls,,Haryana
D.A.V. College for Women,,Punjab
D.A.V. College of Education,,Uttar Pradesh
D.A.V. College of Education,,Punjab
D.A.V. College of Education,,Punjab
D.A.V. College of Education For Women,,Punjab
D.A.V. Degree College,,Uttar Pradesh
D.A.V. Degree College,,Uttar Pradesh
D.A.V. Girls College,,Haryana
D.A.V. Institute of Engineering & Technology (DAVIET),Jalandhar,Punjab
D.A.V. Institute of Physiotherapy & Rehabilitation,Jalandhar,Punjab
D.A.V. Mahavidyalaya,,Rajasthan
D.A.V. Mahila Mahavidyalaya,Dhanbad,Jharkhand
D.A.V. Post Graduate College,Varanasi,Uttar Pradesh
D.A.V. Post Graduate College,Siwan,Bihar
D.A.V. Sansthan,Jaunpur,Uttar Pradesh
D.A.V. Velankar College of Commerce,,Maharashtra
D.A.V.Sansthan,Jaunpur,Uttar Pradesh
D.B. College,Madhubani,Bihar
D.B.F. Dayanand College of Arts & Science,,Maharashtra
D.B.K.N. College,Samastipur,Bihar
D.B.S. (P.G.) College,,Uttarakhand
D.B.S. Degree (PG) College,,Uttar Pradesh
D.B.S.K. Girls Degree College,Azamgarh,Uttar Pradesh
D.C. Barua Girls College,Jorhat,Assam
D.C.S.K. Post - Graduate College,,Uttar Pradesh
D.D. Bhoyar Arts & Science College,Nagpur,Maharashtra
D.D. Chokshi College of Secondary Education,,Gujarat
D.D. College,Dehradun,Uttarakhand
D.D. Mahila Mahavidyalaya,,Uttar Pradesh
D.D. Shinde Sarkar College,,Maharashtra
D.D. Thaker Arts & K.J. Patel Commerce College,,Gujarat
D.E. Society's Kirti M. Doongursee College of Arts Science & Commerce,,Maharashtra
D.E.P.G. College,,Uttar Pradesh
D.E.S. Sau Kusum Tai Dabke Law College,,Chhattisgarh
D.G. Melmalagi Ayurved Medical College,,Karnataka
D.G. Ruparel College of Arts Science & Commerce,,Maharashtra
D.G. Shikshan Mahavidyalaya,,Gujarat
D.G.B. Dayanand College of Education,,Maharashtra
D.G.B. Dayanand Law College,Solapur,Maharashtra
D.H.S.K. College,Dibrugarh,Assam
D.J. Academy for Managerial Excellence,Coimbatore,Tamil Nadu
D.J. College,,Uttar Pradesh
D.J. College of Dental Sciences and Research,,Uttar Pradesh
D.J. College of Engineering & Technology,,Uttar Pradesh
D.K. College,Bhojpur,Bihar
D.K. Govt. College for Women,Sri Potti Sriramulu Nellore,Andhra Pradesh
D.K. Mahila Mahavidyalaya,Gadchiroli,Maharashtra
D.K.D.L. Degree College,Kaushambi,Uttar Pradesh
D.K.V. Arts and Science College,,Gujarat
D.L.R. Arts and Science College (Co-Ed),,Tamil Nadu
D.L.S. Mahavidyalaya,,Chhattisgarh
D.M. College of Arts,,Manipur
D.M. College of Commerce,,Manipur
D.M. College of Education,,Punjab
D.M. College of Science,,Manipur
D.M. College of Teacher Education,,Manipur
D.M. Patel Arts & S.S. Patel Commerce College,,Gujarat
D.M.S. Mandal's College of Computer Applications,Belgaum,Karnataka
D.M.S. Mandal’s College of Business Administration,Belgaum,Karnataka
D.N. Jain College,,Madhya Pradesh
D.N. Post Graduate College,,Uttar Pradesh
D.N.R. College of Engineering & Technology,West Godavari,Andhra Pradesh
D.N.R. College of Engineering & Technology,West Godavari,Andhra Pradesh
D.P. Bhosale College,,Maharashtra
D.P. Mahavidyalaya,Budaun,Uttar Pradesh
D.P. Vipra College,Bilaspur,Chhattisgarh
D.P. Vipra Law College,,Chhattisgarh
D.P.G Degree College,,Haryana
D.P.M. Institute of Education,,Uttar Pradesh
D.P.S. Degree College,,Uttar Pradesh
D.R. Goenka Women’s Degree College,West Godavari,Andhra Pradesh
D.R. Mandal's Uttar Maharashtra College of Commerce,,Maharashtra
D.R. Nayapalli College,,Odisha
D.R.G. Mahavidyalaya,Aligarh,Uttar Pradesh
D.R.J. Government Girls College,,Rajasthan
D.R.M. Science College,Davanagere,Karnataka
D.R.N.S.C.V.S. College,Guntur,Andhra Pradesh
D.R.V.D.A.V. Centenary College,,Punjab
D.S. College,Katihar,Bihar
D.S. Educational Institute,,Uttar Pradesh
D.S.M. College,,Maharashtra
D.S.M. Degree College,,Uttar Pradesh
D.S.N. Degree (PG) College,,Uttar Pradesh
D.V. Degree College,,Uttar Pradesh
D.V.M. College of Education,,Telangana
D.V.M. Mahavidyalaya & Technical College,Bijnor,Uttar Pradesh
D.V.S. College of Arts & Science,,Karnataka
D.V.S. Evening College,,Karnataka
D.Y. Patil College of Engineering & Technology,Kolhapur,Maharashtra
D.Y. Patil Education Society’s D.Y. Technical Campus Faculty of Engineering & Faculty of Management,Kolhapur,Maharashtra
Daar-Ul-Rehmat Trust’s A.E. Kalsekar Degree College,Thane,Maharashtra
Dada Ji Mahavidyalaya,,Uttar Pradesh
Dada Patil Mahavidyalaya,,Maharashtra
Dada Patil Rajale Arts and Science College,,Maharashtra
Dadasaheb Balpande College of Pharmacy,Nagpur,Maharashtra
Dadhibaman College,,Odisha
Dadhimati Teachers Training College,,Rajasthan
Dadi Institute of Engineering & Technology,Visakhapatnam,Andhra Pradesh
Daggubati Chanchu Ramayye Memorial Degree College,Prakasam,Andhra Pradesh
Dahiwadi College,,Maharashtra
Daita Madhusudana Sastry Sri Venkateswara Hindu College of Engineering,Krishna,Andhra Pradesh
Dakshin Kamrup College,Kamrup,Assam
Dakshin Kamrup Girls College,Kamrup,Assam
Dakshina Bharat Hindi Prachar Sabha’s Law College,,Karnataka
Dalgoma Anchalik College,Goalpara,Assam
Dalit Mitra Kadam Guruji Science College,,Maharashtra
Dalmia College,,Odisha
Dalvir Singh Degree College,,Uttar Pradesh
Damacherla Sakkubayamma Government College for Women,Prakasam,Andhra Pradesh
Damber Singh College,,Sikkim
Damdama College,Kamrup,Assam
Damdei Christian College,,Manipur
Damyanti Raj Anand Govt. Degree College,,Uttar Pradesh
Damyantitai Deshmukh B.Ed. College,,Maharashtra
Dan Sahay Memorial Degree College,,Uttar Pradesh
Dang Seva Mandal's Arts College,,Maharashtra
Dang Seva Mandal’s Dadasaheb  Bidkar Arts Science &  Commerce College,,Maharashtra
Danielson Degree College,,Madhya Pradesh
Dapoli Education Society’s Dapoli Urban Bank Senior Science College,,Maharashtra
Darbhanga Medical College,Darbhanga,Bihar
Darjeeling Governement College,,West Bengal
Daroga Prasad Rai Degree College,Siwan,Bihar
Darrang College,Sonitpur,Assam
Darshan Singh Memorial Degree College,Bareilly,Uttar Pradesh
Darshan Singh Smriti Mahavidyalaya,Kanpur Dehat,Uttar Pradesh
Darul Irshad Arabic College,,Kerala
Darul Uloom Arabic College,,Kerala
Dasarth Dev Memorial College,,Tripura
Dashmesh Girls College,,Punjab
Dashmesh Girls College,,Punjab
Dashmesh Khalsa College,,Punjab
Dashrath Prasad Singh Institute of Teachers Education VPO.- Prahladpur,Muzaffarpur,Bihar
Dashrath Sansthan,Ghazipur,Uttar Pradesh
Dashrath Singh Smarak Mahavidyalaya,Gonda,Uttar Pradesh
Dashrath Verma Mahavidyalaya,,Uttar Pradesh
Dasmesh Girls College of Education,,Punjab
Datta Meghe Institute of Engineering Technology & Research,Wardha,Maharashtra
Datta Meghe Institute of Management Studies,,Maharashtra
Datta Science College,Amravati,Maharashtra
Dattaji Rao Kadam Arts Commerce & Science College,,Maharashtra
Dau Kalyan Singh Sonwani Mahavidyalaya,Dhamtari,Chhattisgarh
Dau Uttam Sao Government College Machandur,Durg,Chhattisgarh
Daudnagar College,Aurangabad,Bihar
Daulat Ram College,,Delhi
Daulatbhai Triedi Law College,,Gujarat
DAV College for Girls,,Punjab
DAV Degree College,,Uttar Pradesh
David Hare Training College,,West Bengal
Daya Awadh Mahavidyalaya,Faizabad,Uttar Pradesh
Daya Nand College,,Haryana
Daya Shankar Mahila Mahavidyalaya,Allahabad,Uttar Pradesh
Dayal Degree College,,Uttar Pradesh
Dayal Singh College,,Delhi
Dayal Singh College (Evening Classes),,Delhi
Dayananad Mathradas College,,Punjab
Dayanand Academy Of Management Studies,,Uttar Pradesh
Dayanand Anglo Vedic (PG) College,,Uttar Pradesh
Dayanand Arya Kanya Degree College,,Uttar Pradesh
Dayanand Arya Kanya Mahavidyalaya,,Maharashtra
Dayanand Arya Vedic Mahavidyalaya,,Uttar Pradesh
Dayanand Ayurvedic College,Jalandhar,Punjab
Dayanand Bachhrawan Degree College,,Uttar Pradesh
Dayanand college,,Rajasthan
Dayanand College of Arts,,Maharashtra
Dayanand College of Commerce,,Maharashtra
Dayanand College of Law,,Uttar Pradesh
Dayanand Danku Paraga Gyan Uday Mahavidyalaya,,Uttar Pradesh
Dayanand Dinanath College Institute of Pharmacy,,Uttar Pradesh
Dayanand Girls (PG) College,,Uttar Pradesh
Dayanand Law College,,Maharashtra
Dayanand Mahila Mahavidyalaya,,Haryana
Dayanand Medical College & Hospital,Ludhiana,Punjab
Dayanand Science College,,Maharashtra
Dayanand Vidyapeeth College of Law,Meerut,Uttar Pradesh
Dayanand Women's Training College,,Uttarakhand
Dayanand Women's Training College,,Uttar Pradesh
Dayananda Evening College of Arts & Commerce,,Karnataka
Dayananda Sagar Academy of Technology & management,,Karnataka
Dayananda Sagar College of Arts Science & Commerce,Bangalore,Karnataka
Dayananda Sagar College of Dental Sciences,,Karnataka
Dayananda Sagar College of Engineering,,Karnataka
Dayashankar Jagdish Bahadur Mahila Mahavidyalaya,Pratapgarh,Uttar Pradesh
Dayavihar Degree College,,Odisha
Dayawanti Punj Training Institute,,Uttar Pradesh
Dayawati College of Law,Ghaziabad,Uttar Pradesh
De Paul College  Avverahalli,Mandya,Karnataka
Debra Thana Sahid Kshudiram Smriti Mahavidyalaya,,West Bengal
Deccan Education Society’s Shri Navalmal Firodia Law College,Pune,Maharashtra
Deen Bandhu Mahavidyalaya,Siddharthnagar,Uttar Pradesh
Deen Dayal College,,Uttar Pradesh
Deen Dayal Upadhyay Government Degree College,,Uttar Pradesh
Deen Dayal Upadhyay Govt. Degree College,,Uttar Pradesh
Deen Dayal Upadhyaya College,,Delhi
Deen Dayal Upadhyaya Government Degree College,,Uttar Pradesh
Deenbandhu Deenanath Mahavidyalaya,,Uttar Pradesh
Deep Narayan Singh College,Banka,Bihar
Deep Narayan Surya Kumar Smriti Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Deep Narayan Yadav Degree College,,Uttar Pradesh
Deepshikha College of Technical Education,Jaipur,Rajasthan
Deepshikha Teacher Training College,Jaipur,Rajasthan
Deesa Nagarpanchayat Arts and Commerce College,,Gujarat
Defence Services Staff College,,Tamil Nadu
Degloor College,,Maharashtra
Degree College,,Uttar Pradesh
Degree College,,Uttar Pradesh
Degree College,,Uttar Pradesh
Degree College,,Uttar Pradesh
Degree College,,Madhya Pradesh
Degree College,,Jharkhand
Degree College,,Madhya Pradesh
Degree College,Supaul,Bihar
Degree College of Physical Education,,Maharashtra
Degree College Of Physical Education,,Gujarat
Dehradun Institute of Technology,,Uttarakhand
Dekha Devi Rasiwasia College,Dibrugarh,Assam
Delhi College of Arts & Commerce,,Delhi
Delhi College of Engineering,,Delhi
Delhi Institute of Pharma Ceutical Science and Research,,Delhi
Delhi School of Professional Studies & Research,,Delhi
Demow College,Sivasagar,Assam
Dempo Charities Trust’s Dhempe College of Arts & Science,,Goa
Dental College,Azamgarh,Uttar Pradesh
Dental College,,Karnataka
Deo Chander Mahavidyalaya,Vaishali,Bihar
Deo Indrawati Mahavidyalaya,,Uttar Pradesh
Deo Narayan Yadav College,Madhubani,Bihar
Deo Shanker Haldha Choudhary Sanskrit Mahavidyalaya,Madhubani,Bihar
DEO Sundari Memorial College,Munger,Bihar
Deoband College of Higher Education,,Uttar Pradesh
Deogarh College,,Odisha
Deoghar College,,Jharkhand
Deogiri College,,Maharashtra
Deomornoi Degree College,Darrang,Assam
Dera Natung Government College,,Arunachal Pradesh
Derabis College,,Odisha
Dergaon Kamal Dowerah College,Golaghat,Assam
Derozio Memorial College,,West Bengal
Des's Bangurnagar Arts Science and Commerce College,,Karnataka
Desai Chandulal Manilal Arts and Commerce College,,Gujarat
Desh Bagat College,,Punjab
Desh Bandhu College,,Delhi
Desh Bandhu Gupta Government College,Panipat,Haryana
Desh Deepak Adarsh Mahavidyalaya,,Uttar Pradesh
Deshbandhu College for Girls,,West Bengal
Deshbandhu Mahavidyalaya,,West Bengal
Deshbhakta Anandrao Balawantrao Naik Arts & Science College,,Maharashtra
Deshbhakta Ratnappa Kumbhar College of Commerce,,Maharashtra
Deshbhakta Sambhajirao Garad Mahavidyalaya,,Maharashtra
Deshrani Rajpoot Mahavidyalaya,Hamirpur,Uttar Pradesh
Dev Bux Baldev Smarak Mahavidyalaya,Faizabad,Uttar Pradesh
Dev College,,Uttar Pradesh
Dev Education College,,Uttar Pradesh
Dev Samaj College for Girls,,Haryana
Dev Samaj College for Women,,Punjab
Dev Samaj College for Women,,Chandigarh
Dev Samaj College of Education,,Chandigarh
Dev Samaj College of Education for Women,,Punjab
Dev Sangha Institute of Professional Studies & Educational Research,,Jharkhand
Dev Sanskriti College of Education & Technology,,Chhattisgarh
Deva Matha College,,Kerala
Deva Nagri College,,Uttar Pradesh
Devaki Amma Memorial College of Pharmacy Chelembra PO. Pulliparamba Dt. Malappuram-673 634,Malappuram,Kerala
Devan Bahadur Padma Rao Mudalier College for Women,,Telangana
Devanampriya Ashok Government First Grade College,Raichur,Karnataka
Devanga Arts College,,Tamil Nadu
Devanshi Girls College of Education.,,Uttar Pradesh
Devanshu Samaj Kalyan Sewa Mahavidyalaya,,Uttar Pradesh
Devarasetty Adilakchuma Women's College,Y.S.R.,Andhra Pradesh
Devaswom Board College,,Kerala
Devaswon Board College,,Kerala
Devaswon Board Pampa College,,Kerala
Devchand College,,Maharashtra
Devchandra Dalsingar Bhartiya Vidyapeeth Mahavidyalaya,,Uttar Pradesh
Devendra Degree College,,Uttar Pradesh
Devendranath Jantha Degree College,,Uttar Pradesh
Devi Ahilya Girls Arts & Commerce Degree College,,Madhya Pradesh
Devi Sharan Ram Chander Degree College,,Uttar Pradesh
Devi Shyamrathi Mahavidyalaya,,Uttar Pradesh
Devi Singh Kesarbai College,,Madhya Pradesh
Devineni Venkata Ramana & Dr. Hima Sekhar MIC College of Technology,Krishna,Andhra Pradesh
Deviprasad Goenka Management College of Media Studies,Mumbai,Maharashtra
Devki Devi Jain Memorial College for Women,,Punjab
Devrukh Shikshan Prasarak Mandal’s Nyayadhish Tatyasaheb Athalye Arts Vedmurti S.R. Sapre Commerce and Vidhidnya Dadasaheb Pitre Science College,,Maharashtra
Devta Mahavidyalaya,,Uttar Pradesh
Dewan Abdul Gani College,,West Bengal
Dewan Institute of Management Studies,Meerut,Uttar Pradesh
Dewan Law College,Meerut,Uttar Pradesh
Dewanhat Mahavidyalaya,,West Bengal
Dhaanish Ahmed College of Engineering,,Tamil Nadu
Dhaanish Ahmed Institute of Technology,Coimbatore,Tamil Nadu
Dhakhakha College,Lakhimpur,Assam
Dhamanagar College,,Odisha
Dhamangaon Education Society’s College of Engineering and Technology,,Maharashtra
Dhamdhama Anchalik College,Nalbari,Assam
Dhampur Degree College,Bijnor,Uttar Pradesh
Dhanabagiyam Krishnaswamy Mudaliar College for Women,,Tamil Nadu
Dhanaji Nan Mahavidyalaya,,Maharashtra
Dhanaji Nana Chaudhari Vidya Prabhodhini Sanchalit Shirish Madhukarrao Chaudhari College,Jalgaon,Maharashtra
Dhanaji Nana Chaudhari Vidya Prabodhini Sanchalit Loksevak Madhukarrao Choudhari College of Social Work,Jalgaon,Maharashtra
Dhanalakshimi College of Education,Guntur,Andhra Pradesh
Dhanalakshmi College of Physical Education,Guntur,Andhra Pradesh
Dhanalakshmi College of Engineering,,Tamil Nadu
Dhanalakshmi Srinivasan College of Arts & Science For Women,,Tamil Nadu
Dhanalakshmi Srinivasan College of Engineering (CBE),Coimbatore,Tamil Nadu
Dhanalakshmi Srinivasan College of Engineering and Technology,Kancheepuram,Tamil Nadu
Dhanalakshmi Srinivasan Engineering College,,Tamil Nadu
Dhananjayrao Gadgil College of Commerce,,Maharashtra
Dhandaimata Education Society Sanchalit Arts College,Jalgaon,Maharashtra
Dhanekula Institute of Engineering and Technology,Krishna,Andhra Pradesh
Dhaneswar Yadav Mahila Mahavidyalaya,Jaunpur,Uttar Pradesh
Dhanraj Baid Jain College,,Tamil Nadu
Dhanraj Kunwar Girls Degree College,,Uttar Pradesh
Dhanwate National College,,Maharashtra
Dharama Samaj Sanskrit College,Muzaffarnagar,Bihar
Dharamamurthi Rao Bahadur Calavala Cunnan Chetty's Hindu College,,Tamil Nadu
Dharamapuram Ganambigai Government Arts College for Women,,Tamil Nadu
Dharampal Singh Chandraul Mahavidyalaya,,Uttar Pradesh
Dharampeth M.P. Deo Memorial Science College,,Maharashtra
Dharamsamaj Sanskrit College,,Uttar Pradesh
Dharamveer Institute of Education & Technology Noorpur,,Uttar Pradesh
Dharamveer Singh Memorial Degree College,Moradabad,Uttar Pradesh
Dharanidhar College,,Odisha
Dharichhana Kunwari Memorial College,Buxar,Bihar
Dharm Jyoti Mahavidyalaya,,Uttar Pradesh
Dharma Appa Rao College,Krishna,Andhra Pradesh
Dharma Devi Badri Prasad Smarak Mahavidyalaya,Sultanpur,Uttar Pradesh
Dharma Devi Mahavidyalaya,Jaunpur,Uttar Pradesh
Dharma Devi Mahavidyalaya,Jaunpur,Uttar Pradesh
Dharma Samaj P.G. College,,Uttar Pradesh
Dharmanagar Government College,,Tripura
Dharmapuram Adhinam Arts College,,Tamil Nadu
Dharmasala Mahavidyalaya,,Odisha
Dharmasinh Desai Institute of Commerce,,Gujarat
Dharmavant College of Science & Commerce,,Telangana
Dharmendra Singh Memorial College,Meerut,Uttar Pradesh
Dharmendrasinhji Arts College,,Gujarat
Dharmraj Singh College of Education,Chitrakoot,Uttar Pradesh
Dharwad Institute of Mental Health and Neuro Sciences,Dharwad,Karnataka
Dheerendra Pal Singh Institute of Higher Education,Mainpuri,Uttar Pradesh
Dhemaji College,Dhemaji,Assam
Dhemaji Commerce College,Dhemaji,Assam
Dhemaji Girl’s College,Dhemaji,Assam
Dhenkanal College,,Odisha
Dhenkanal Law College,,Odisha
Dhenkanal Mahila Mahavidyalaya,,Odisha
Dhing College,Nagaon,Assam
Dhirajlal Degree College,,Odisha
Dhirajlal Gandhi College of Technology,Salem,Tamil Nadu
Dhirendra Mahila Mahavidyalaya,,Uttar Pradesh
Dhondhe Ram Degree College,,Uttar Pradesh
Dhote Bhandu Science College,,Maharashtra
Dhruba Chandra Halder College,,West Bengal
Dhruv Narayan Mahila Mahavidyalay,,Uttar Pradesh
Dhruva Narayan Mahila Mahavidyalaya,,Uttar Pradesh
Dhubri Girls’ College,Dhubri,Assam
Dhule Education Society's College of Education,,Maharashtra
Dhule Education Society’s M.D. Palesha Commerce College,,Maharashtra
Diamond College of Commerce & Science,Nagpur,Maharashtra
Dibru College,Dibrugarh,Assam
Dibrugarh H.S. Kanoi Commerce College,Dibrugarh,Assam
Digambar Jain Adarsh Mahila Sanskrit PG Mahavidyalaya,,Rajasthan
Digambarrao Bindu Arts Commerce and Science College,Nanded,Maharashtra
Digamber Degree College,,Uttar Pradesh
Digboi College,Tinsukia,Assam
Digboi Mahila Mahavidyalaya,Tinsukia,Assam
Digvijai Nath P.G. College,,Uttar Pradesh
Digvijay Nath L.T. Training College,,Uttar Pradesh
Dikhowmukh College,Sivaganga,Assam
Dimapur Government College,,Nagaland
Dimoria College,Kamrup,Assam
Dimow Chariali College,Dhemaji,Assam
Dina Krishna College,,Odisha
Dinabandhu Institute,,West Bengal
Dinabandhu Mahavidyalaya,,West Bengal
Dinabandhu Sahu Law College,,Odisha
Dinbandhu Andrew's College,,West Bengal
Dinhata College,,West Bengal
Dinkarrao K. Shinde College of Education,Kolhapur,Maharashtra
Dinkarrao Ram Chandra Mane Mahavidyalaya,,Maharashtra
Dinsha Patel College of Nursing,,Gujarat
Dinshan Daboo Law College,,Gujarat
Diphu Government College,Karbi Anglong,Assam
Disha - A Resource Centre for the Disabled,Jaipur,Rajasthan
Disha College,,Chhattisgarh
Disha College of Management Studies,Raipur,Chhattisgarh
Disha Institute of Science & Technology,,Uttar Pradesh
Dispur College,Kamrup,Assam
Divine College,Pilibhit,Uttar Pradesh
Divya Kirpal Mahavidyalaya,,Uttar Pradesh
Divyanand Vidya Mandir Mahavidyalaya,,Uttar Pradesh
Dixit College of Higher Education,,Uttar Pradesh
Dixit Mahavidyalaya,Aligarh,Uttar Pradesh
Diyawanath Kewala Shankar Mahavidyalaya,,Uttar Pradesh
DMI College of Engineering,Kancheepuram,Tamil Nadu
Dnyan Bharati Society's Sau. Sitabai Ramkrushna Karandikar College of Commerce Late Mehernosh Bowan Burijar Irani College of  Arts,,Maharashtra
Dnyan Prabodhini Mandal’s Shree Mallikarjun College of Arts & Commerce,,Goa
Dnyandeep College of Administration,Nagpur,Maharashtra
Dnyaneshwar Gramonnati Mandal’s Hon. Balasaheb Jadhav Arts Commerce & Science College,Pune,Maharashtra
Dnyanpasak Shikshan Mandal's College of Arts Commerce and Science,,Maharashtra
Dnyanprassarak Mandal’s College and Research Centre,,Goa
Dnyanvardhini Trust's Sonubhau Baswant College of Arts and Commerce,,Maharashtra
Doaba College,,Punjab
Dogra College of Education,Jammu,Jammu and Kashmir
Dogra Degree College,Jammu,Jammu and Kashmir
Dogra Law College,Jammu,Jammu and Kashmir
Dolphin (P.G.) Institute of Biomedical & Natural Science,,Uttarakhand
Dombivli Yuvak Education Trust Royal College of Science & Commerce,Thane,Maharashtra
Dombnili S.P. Mandal's S.K.V. Pendherkar Arts Science & Commerce College,,Maharashtra
Dominant College of Education,Dausa,Rajasthan
Domkal Girls’ College,Murshidabad,West Bengal
Don Bosco Arts and Science College,,Kerala
Don Bosco College,,Goa
Don Bosco College,Golaghat,Assam
Don Bosco College,,Meghalaya
Don Bosco College,,Arunachal Pradesh
Don Bosco College,,Manipur
Don Bosco College,Wayanad,Kerala
Don Bosco College,Kohima,Nagaland
Don Bosco College of Arts & Science,Thoothukudi,Tamil Nadu
Don Bosco College of Engineering,,Goa
Don Bosco College of Sciences and Management,,Karnataka
Don Bosco College,,Kerala
Don Bosco College Mannuthy,Thrissur,Kerala
Don Bosco Institute of Technology,Bangalore,Karnataka
Donyi-Polo Government College,,Arunachal Pradesh
Doodhnath Smarak Mahavidyalaya,Sultanpur,Uttar Pradesh
Doodhsakhar Mahavidyalaya,,Maharashtra
Doom Doom College,Tinsukia,Assam
Doon Business School,Dehradun,Uttarakhand
Doon College of Education,,Uttar Pradesh
Doon College of Education for Women,,Uttar Pradesh
Doon College of Law,,Uttar Pradesh
Doranda College,,Jharkhand
Doying Gumin College,,Arunachal Pradesh
DPBS College Anupshahr,Bulandshahr,Uttar Pradesh
Dr Moopen’s Medical College,,Kerala
Dr. A. C. Homoeopathic Medical College and Hospital,,Odisha
Dr. A.H. Rizvi Degree College,,Uttar Pradesh
Dr. A.P.J. Abdul Kalam Government College,Kolkata,West Bengal
Dr. A.V. Baliga College of Art & Science,,Karnataka
Dr. A.V. Baliga College of Commerce,,Karnataka
Dr. Akhtar Hasan Rizvi Shia Degree College,Jaunpur,Uttar Pradesh
Dr. Ambedkar (Degree College),,Uttar Pradesh
